baseline,num_candidates,num_evaluable_for_repair,repair_evaluable_rate,same_budget_success_rate,scaffold_preservation,editable_validity,anchor_validity,clash_count,clash_free_rate,posebusters_pass,plip_interaction_recovery,vina_delta,qed,sa,logp,rotatable_bonds,source
direct_regeneration,12,7,0.5833333333333334,0.5,,0.5,0.5,,0.5833333333333334,,,,,,,,smoke_rdkit_feedback_template
best_of_n,12,7,0.5833333333333334,0.5,,0.5,0.5,,0.5833333333333334,,,,,,,,smoke_rdkit_feedback_template
rerank_only,12,7,0.5833333333333334,0.5,,0.5,0.5,,0.5833333333333334,,,,,,,,smoke_rdkit_feedback_template
no_feedback_repair,12,7,0.5833333333333334,0.5,,0.5,0.5,,0.5833333333333334,,,,,,,,smoke_rdkit_feedback_template
