baseline,num_repaired,num_sample_evaluable,repaired_success_rate,repair_gain_success_rate,scaffold_preservation,editable_validity,anchor_validity,clash_free_rate,mean_clash_count,mean_qed,mean_logp,mean_posebusters_like_pass,mean_contact_fingerprint_similarity,mean_contact_fingerprint_similarity_gain,mean_contact_recovery,mean_contact_recovery_gain,mean_vina_like_proxy,mean_vina_like_gain,mean_anchor_error_reduction,mean_clash_count_reduction,mean_ligand_efficiency_proxy,mean_sa_fallback,source
best_of_n,3,3,1.0,0.0,,1.0,1.0,1.0,0.0,0.23178797375127028,2.7084666666666712,1.0,0.8360187238236018,0.0,0.8982447121034077,0.0,0.38589739803633344,0.08946666666666676,0.0,0.0,0.010835106630483858,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
coordinate_rollback,3,3,1.0,1.0,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,1.0,0.16398127617639813,1.0,0.10175528789659223,0.5913150099520931,-0.11595094524909284,0.0,0.0,0.015541953032844655,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
direct_regeneration,3,3,1.0,0.3333333333333333,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.7794905869324474,-0.05652813689115447,0.8675455346650999,-0.030699177438307856,0.3335255689494366,0.14183849575356358,-0.5,0.0,0.008612381538217096,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_anchor_alignment_policy,3,3,1.0,0.0,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.8360187238236018,0.0,0.8982447121034077,0.0,0.4753640647030002,0.0,0.0,0.0,0.01296526536064259,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_geometry_refinement,3,3,1.0,0.0,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.7940947940947941,-0.0419239297288078,0.8837519584802194,-0.014492753623188396,0.6796554187929221,-0.20429135408992197,-0.6666666666666666,0.0,0.018046806549200448,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_kernel_geometry_policy,3,3,1.0,0.3333333333333333,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.8363242177876323,0.0003054939640305676,0.8987955346650999,0.0005508225616921436,0.354616492857226,0.12074757184577416,-0.2746515064294143,0.0,0.009156631217730611,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_knn_geometry_policy,3,3,1.0,0.0,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.8042929292929294,-0.03172579453067259,0.8579857030943988,-0.04025900900900903,0.5060602722038984,-0.030696207500898225,-0.1414213562373107,0.0,0.013691913580206513,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_learned_geometry_policy,3,3,1.0,0.3333333333333333,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.8294638694638694,-0.006554854359732428,0.8779622013317665,-0.02028251077164119,0.5571738877201966,-0.08180982301719641,-0.48106854778222213,0.0,0.014072239436702915,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_linear_refinement,3,3,0.3333333333333333,0.0,,1.0,0.3333333333333333,0.3333333333333333,3.6666666666666665,0.23154649657855628,2.2611333333333374,0.3333333333333333,0.5084446835859265,-0.32757404023767533,0.7324226400313356,-0.16582207207207209,8.857624887273039,-8.382260822570037,-2.2227731125278027,-3.6666666666666665,0.20795235927579947,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_residual_ensemble_policy,3,3,1.0,0.0,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.800959595959596,-0.035059127864005925,0.8544604386995691,-0.04378427340383865,0.5960846854275327,-0.12072062072453245,-0.4408624870983629,0.0,0.014980491315556161,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_rule_repair,3,3,1.0,0.0,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.8360187238236018,0.0,0.8982447121034077,0.0,0.4753640647030002,0.0,0.0,0.0,0.01296526536064259,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
identity_failed_candidate,3,3,1.0,0.0,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.8360187238236018,0.0,0.8982447121034077,0.0,0.4753640647030002,0.0,0.0,0.0,0.01296526536064259,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
no_feedback_repair,3,3,1.0,0.0,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.8360187238236018,0.0,0.8982447121034077,0.0,0.4753640647030002,0.0,0.0,0.0,0.01296526536064259,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
rerank_only,3,3,1.0,0.0,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.8360187238236018,0.0,0.8982447121034077,0.0,0.4753640647030002,0.0,0.0,0.0,0.01296526536064259,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
