baseline,num_repaired,num_sample_evaluable,repaired_success_rate,scaffold_preservation,editable_validity,anchor_validity,clash_free_rate,mean_clash_count,mean_qed,mean_logp,mean_posebusters_like_pass,mean_contact_fingerprint_similarity,mean_contact_recovery,mean_vina_like_proxy,mean_ligand_efficiency_proxy,mean_sa_fallback,source
best_of_n,12,12,0.5,1.0,1.0,1.0,0.5,0.6666666666666666,0.3854187131801414,2.089925000000004,0.5,0.8817826286734275,0.9598640924470198,2.22022977657565,0.08616929502505809,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
coordinate_rollback,12,12,1.0,1.0,1.0,1.0,1.0,0.0,0.37890972579828874,1.765858333333336,1.0,1.0,1.0,0.36313889943491634,0.011487333836579077,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
direct_regeneration,12,12,0.5,1.0,1.0,1.0,0.5,0.75,0.3766637886012534,1.9942250000000026,0.5,0.8426008907391656,0.9537356353170413,2.3456446387786385,0.09244470177010522,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_geometry_refinement,12,12,1.0,1.0,1.0,1.0,1.0,0.0,0.37890972579828874,1.765858333333336,1.0,0.8801772323261742,0.9340538306675644,0.6105323210357246,0.023441656270725805,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_kernel_geometry_policy,12,12,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.16666666666666666,0.37890972579828874,1.765858333333336,0.8333333333333334,0.8753215495081034,0.9491331252809889,1.066334428886039,0.053124584569936205,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_knn_geometry_policy,12,12,0.75,1.0,1.0,0.9166666666666666,0.75,0.75,0.37890972579828874,1.765858333333336,0.75,0.8117632899118306,0.9236127870791625,2.3144695880180026,0.0727798858047553,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_learned_geometry_policy,12,12,0.8333333333333334,1.0,1.0,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.37890972579828874,1.765858333333336,0.8333333333333334,0.8472356930149338,0.942090430329445,2.1260326263979383,0.06842810090608707,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_linear_refinement,12,12,0.5833333333333334,1.0,1.0,1.0,0.5833333333333334,0.5833333333333334,0.37890972579828874,1.765858333333336,0.5833333333333334,0.8426191613199568,0.9473920065361936,2.019311015552298,0.08073134214129953,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_residual_ensemble_policy,12,12,0.8333333333333334,1.0,1.0,0.9166666666666666,0.8333333333333334,0.3333333333333333,0.37890972579828874,1.765858333333336,0.8333333333333334,0.8432642463744034,0.9378368690493878,1.3673097118955262,0.04509874955876907,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_rule_repair,12,12,1.0,1.0,1.0,1.0,1.0,0.0,0.37890972579828874,1.765858333333336,1.0,0.9661099769795424,0.9787364130434782,0.5447467429724568,0.017291639741914316,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
identity_failed_candidate,12,12,0.5,1.0,1.0,1.0,0.5,0.6666666666666666,0.37890972579828874,1.765858333333336,0.5,0.8817826286734275,0.9598640924470198,2.285043109908983,0.08836480977512352,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
no_feedback_repair,12,12,0.5,1.0,1.0,1.0,0.5,0.6666666666666666,0.37890972579828874,1.765858333333336,0.5,0.8817826286734275,0.9598640924470198,2.285043109908983,0.08836480977512352,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
rerank_only,12,12,0.5,1.0,1.0,1.0,0.5,0.6666666666666666,0.37890972579828874,1.765858333333336,0.5,0.8817826286734275,0.9598640924470198,2.285043109908983,0.08836480977512352,3.773333333333334,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
