anchor_validity,baseline,clash_free_rate,editable_validity,fold_mean_anchor_validity,fold_mean_clash_free_rate,fold_mean_editable_validity,fold_mean_mean_clash_count,fold_mean_mean_contact_fingerprint_similarity,fold_mean_mean_contact_recovery,fold_mean_mean_ligand_efficiency_proxy,fold_mean_mean_logp,fold_mean_mean_posebusters_like_pass,fold_mean_mean_qed,fold_mean_mean_sa_fallback,fold_mean_mean_vina_like_proxy,fold_mean_repaired_success_rate,fold_mean_scaffold_preservation,held_out_complex,mean_clash_count,mean_contact_fingerprint_similarity,mean_contact_recovery,mean_ligand_efficiency_proxy,mean_logp,mean_num_repaired,mean_posebusters_like_pass,mean_qed,mean_sa_fallback,mean_vina_like_proxy,num_folds,num_repaired,num_sample_evaluable,repaired_success_rate,scaffold_preservation,scope,source
0.5,no_feedback_repair,0.5,1.0,,,,,,,,,,,,,,,1hsg,5.25,0.7061682573347472,0.9391891891891893,0.2586044061303644,2.8639000000000046,,0.5,0.15322246044088367,5.6,11.6371982758664,,4,4,0.5,1.0,fold,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
0.5,rerank_only,0.5,1.0,,,,,,,,,,,,,,,1hsg,5.25,0.7061682573347472,0.9391891891891893,0.2586044061303644,2.8639000000000046,,0.5,0.15322246044088367,5.6,11.6371982758664,,4,4,0.5,1.0,fold,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
0.5,best_of_n,0.75,1.0,,,,,,,,,,,,,,,3ptb,0.25,0.9107142857142857,1.0,0.11867069252198727,0.8102000000000003,,0.75,0.5133525670819973,1.52,1.0680362326978854,,4,4,0.5,1.0,fold,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
1.0,coordinate_rollback,1.0,1.0,,,,,,,,,,,,,,,3ptb,0.0,1.0,1.0,0.008068756984579732,0.8102000000000003,,1.0,0.5133525670819973,1.52,0.07261881286121759,,4,4,1.0,1.0,fold,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
0.25,direct_regeneration,0.5,1.0,,,,,,,,,,,,,,,3ptb,1.25,0.7857142857142857,1.0,0.37771253574871544,0.8102000000000003,,0.5,0.5133525670819973,1.52,3.399412821738439,,4,4,0.25,1.0,fold,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
0.25,feedback_geometry_refinement,1.0,1.0,,,,,,,,,,,,,,,3ptb,0.0,0.9722222222222222,0.9722222222222222,0.060497243437378154,0.8102000000000003,,1.0,0.5133525670819973,1.52,0.5444751909364035,,4,4,0.25,1.0,fold,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
1.0,feedback_linear_refinement,1.0,1.0,,,,,,,,,,,,,,,3ptb,0.0,1.0,1.0,0.00820795083088928,0.8102000000000003,,1.0,0.5133525670819973,1.52,0.07387155747800352,,4,4,1.0,1.0,fold,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
1.0,feedback_rule_repair,1.0,1.0,,,,,,,,,,,,,,,3ptb,0.0,1.0,1.0,0.008068756984579732,0.8102000000000003,,1.0,0.5133525670819973,1.52,0.07261881286121759,,4,4,1.0,1.0,fold,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
0.5,identity_failed_candidate,0.75,1.0,,,,,,,,,,,,,,,3ptb,0.25,0.9107142857142857,1.0,0.11867069252198727,0.8102000000000003,,0.75,0.5133525670819973,1.52,1.0680362326978854,,4,4,0.5,1.0,fold,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
0.5,no_feedback_repair,0.75,1.0,,,,,,,,,,,,,,,3ptb,0.25,0.9107142857142857,1.0,0.11867069252198727,0.8102000000000003,,0.75,0.5133525670819973,1.52,1.0680362326978854,,4,4,0.5,1.0,fold,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
0.5,rerank_only,0.75,1.0,,,,,,,,,,,,,,,3ptb,0.25,0.9107142857142857,1.0,0.11867069252198727,0.8102000000000003,,0.75,0.5133525670819973,1.52,1.0680362326978854,,4,4,0.5,1.0,fold,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
,best_of_n,,,0.5,0.5833333333333334,1.0,2.3333333333333335,0.7808484739456372,0.9406672297297298,0.1567803078821576,2.3575333333333366,0.5833333333333334,0.2540216410775887,4.376666666666666,5.537999719439125,0.5,1.0,mean_over_folds,,,,,,4.0,,,,,3,,,,,aggregate,
,coordinate_rollback,,,1.0,1.0,1.0,0.0,1.0,1.0,0.012734293611028562,1.9102000000000032,1.0,0.2537801639048746,4.376666666666666,0.45610117348889473,1.0,1.0,mean_over_folds,,,,,,4.0,,,,,3,,,,,aggregate,
,direct_regeneration,,,0.4166666666666667,0.5,1.0,2.4166666666666665,0.7132549348792927,0.9372184684684685,0.23607915222339818,1.9102000000000032,0.5,0.2537801639048746,4.376666666666666,5.950553112213133,0.4166666666666667,1.0,mean_over_folds,,,,,,4.0,,,,,3,,,,,aggregate,
,feedback_geometry_refinement,,,0.6666666666666666,0.9166666666666666,1.0,0.08333333333333333,0.8858949323888349,0.9477367992992992,0.03764555022214112,1.9102000000000032,0.9166666666666666,0.2537801639048746,4.376666666666666,0.9449034423176138,0.5833333333333334,1.0,mean_over_folds,,,,,,4.0,,,,,3,,,,,aggregate,
,feedback_linear_refinement,,,1.0,1.0,1.0,0.0,1.0,1.0,0.012771546340802964,1.9102000000000032,1.0,0.2537801639048746,4.376666666666666,0.45607461890890993,1.0,1.0,mean_over_folds,,,,,,4.0,,,,,3,,,,,aggregate,
,feedback_rule_repair,,,1.0,1.0,1.0,0.0,1.0,1.0,0.012734293611028562,1.9102000000000032,1.0,0.2537801639048746,4.376666666666666,0.45610117348889473,1.0,1.0,mean_over_folds,,,,,,4.0,,,,,3,,,,,aggregate,
,identity_failed_candidate,,,0.5,0.5833333333333334,1.0,2.3333333333333335,0.7808484739456372,0.9406672297297298,0.15891046661231636,1.9102000000000032,0.5833333333333334,0.2537801639048746,4.376666666666666,5.627466386105792,0.5,1.0,mean_over_folds,,,,,,4.0,,,,,3,,,,,aggregate,
,no_feedback_repair,,,0.5,0.5833333333333334,1.0,2.3333333333333335,0.7808484739456372,0.9406672297297298,0.15891046661231636,1.9102000000000032,0.5833333333333334,0.2537801639048746,4.376666666666666,5.627466386105792,0.5,1.0,mean_over_folds,,,,,,4.0,,,,,3,,,,,aggregate,
,rerank_only,,,0.5,0.5833333333333334,1.0,2.3333333333333335,0.7808484739456372,0.9406672297297298,0.15891046661231636,1.9102000000000032,0.5833333333333334,0.2537801639048746,4.376666666666666,5.627466386105792,0.5,1.0,mean_over_folds,,,,,,4.0,,,,,3,,,,,aggregate,
