baseline,num_seeds,total_repaired,mean_repaired_success_rate,mean_repair_gain_success_rate,mean_contact_recovery_gain,mean_contact_similarity_gain,mean_anchor_error_reduction,mean_clash_count_reduction,source
feedback_budgeted_learned_editable_contact_shuffled_policy,3,53,0.9824561403508771,0.1723426212590299,0.027668960742981006,0.021651076643603596,0.0,-0.017543859649122806,contact_degraded_shuffled_ablation_multiseed_summary
feedback_learned_editable_contact_shuffled_policy,3,53,0.8885448916408668,0.05675954592363261,0.0024211877733549604,-0.006739219090147404,0.0,-0.11145510835913312,contact_degraded_shuffled_ablation_multiseed_summary
feedback_ridge_editable_contact_shuffled_policy,3,53,0.9060887512899897,0.13312693498452013,0.007964309438233853,-0.00502683045791708,0.0,-0.13312693498452013,contact_degraded_shuffled_ablation_multiseed_summary
